concept_id,fsn,preferred_term,subspecialty,method_id,method,site_id,procedure_site,approach_id,surgical_approach,device_id,device,morphology_id,morphology,default_intent_id,laterality_applicable,revision_applicable,level_applicable,level_kind,level_regions,active,inactivation_reason,replaced_by,effective_from,effective_to,catalogue_release
NSX-00034,Removal of ventriculoperitoneal shunt (procedure),Ventriculoperitoneal shunt removal,cranial-csf,MTH-0008,Removal,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0001,Ventriculoperitoneal shunt system,,,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00035,Insertion of ventriculoatrial shunt (procedure),Ventriculoatrial shunt insertion,cranial-csf,MTH-0007,Insertion,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0003,Ventriculoatrial shunt system,MOR-0028,Hydrocephalus,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00036,Insertion of lumboperitoneal shunt (procedure),Lumboperitoneal shunt insertion,cranial-csf,MTH-0007,Insertion,SIT-0032,Lumbar subarachnoid space,APP-0018,Percutaneous,DEV-0002,Lumboperitoneal shunt system,MOR-0028,Hydrocephalus,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00037,Endoscopic third ventriculostomy (procedure),Endoscopic third ventriculostomy,cranial-csf,MTH-0022,Fenestration,SIT-0010,Third ventricle,APP-0012,Endoscopic transventricular,,,MOR-0028,Hydrocephalus,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00038,Insertion of Ommaya reservoir (procedure),Ommaya reservoir insertion,cranial-csf,MTH-0007,Insertion,SIT-0009,Lateral ventricle,APP-0003,Burr hole,DEV-0006,Ommaya reservoir,,,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00039,Insertion of lumbar drain (procedure),Lumbar drain insertion,cranial-csf,MTH-0007,Insertion,SIT-0032,Lumbar subarachnoid space,APP-0018,Percutaneous,DEV-0016,Lumbar drain catheter,,,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00040,Craniotomy and evacuation of cerebral abscess (procedure),Craniotomy cerebral abscess evacuation,cranial-infection,MTH-0006,Evacuation,SIT-0018,Brain,APP-0001,Craniotomy,,,MOR-0018,Cerebral abscess,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00041,Burr hole aspiration of cerebral abscess (procedure),Burr hole cerebral abscess aspiration,cranial-infection,MTH-0005,Drainage,SIT-0018,Brain,APP-0003,Burr hole,,,MOR-0018,Cerebral abscess,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00042,Craniotomy and evacuation of subdural empyema (procedure),Craniotomy subdural empyema evacuation,cranial-infection,MTH-0006,Evacuation,SIT-0011,Subdural space,APP-0001,Craniotomy,,,MOR-0019,Subdural empyema,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00043,Debridement of infected craniotomy wound (procedure),Craniotomy wound debridement,cranial-infection,MTH-0018,Debridement,SIT-0015,Scalp,APP-0019,Open direct exposure,,,MOR-0038,Surgical site infection,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00044,Lumbar foraminotomy (procedure),Lumbar foraminotomy,spine-degenerative,MTH-0011,Decompression,SIT-0021,Lumbar vertebral column,APP-0017,Transforaminal,,,MOR-0022,Spinal canal stenosis,INT-0001,1,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00045,Posterior lumbar interbody fusion (procedure),Posterior lumbar interbody fusion,spine-degenerative,MTH-0013,Fusion,SIT-0021,Lumbar vertebral column,APP-0014,Posterior midline,DEV-0011,Intervertebral cage,MOR-0024,Spondylolisthesis,INT-0001,0,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00046,Transforaminal lumbar interbody fusion (procedure),Transforaminal lumbar interbody fusion,spine-degenerative,MTH-0013,Fusion,SIT-0021,Lumbar vertebral column,APP-0017,Transforaminal,DEV-0011,Intervertebral cage,MOR-0024,Spondylolisthesis,INT-0001,1,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00047,Posterolateral lumbar fusion with pedicle screw fixation (procedure),Posterolateral lumbar fusion,spine-degenerative,MTH-0013,Fusion,SIT-0021,Lumbar vertebral column,APP-0016,Posterolateral,DEV-0008,Pedicle screw system,MOR-0024,Spondylolisthesis,INT-0001,0,1,1,vertebra,"lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00048,Anterior cervical corpectomy and fusion (procedure),Anterior cervical corpectomy and fusion,spine-degenerative,MTH-0001,Excision,SIT-0027,Vertebral body,APP-0015,Anterior cervical,DEV-0012,Anterior cervical plate,MOR-0023,Cervical spondylotic myelopathy,INT-0001,0,1,1,vertebra,cervical,1,,,2026-08-07,,v2026.1
NSX-00049,Cervical laminectomy and decompression (procedure),Cervical laminectomy,spine-degenerative,MTH-0011,Decompression,SIT-0019,Cervical vertebral column,APP-0014,Posterior midline,,,MOR-0023,Cervical spondylotic myelopathy,INT-0001,0,1,1,vertebra,"craniocervical,cervical",1,,,2026-08-07,,v2026.1
NSX-00050,Cervical laminoplasty (procedure),Cervical laminoplasty,spine-degenerative,MTH-0011,Decompression,SIT-0019,Cervical vertebral column,APP-0014,Posterior midline,,,MOR-0023,Cervical spondylotic myelopathy,INT-0001,0,1,1,vertebra,cervical,1,,,2026-08-07,,v2026.1
NSX-00051,Posterior cervical fusion with lateral mass screw fixation (procedure),Posterior cervical fusion,spine-degenerative,MTH-0013,Fusion,SIT-0019,Cervical vertebral column,APP-0014,Posterior midline,DEV-0009,Lateral mass screw system,,,INT-0001,0,1,1,vertebra,"craniocervical,cervical",1,,,2026-08-07,,v2026.1
NSX-00052,Thoracic discectomy (procedure),Thoracic discectomy,spine-degenerative,MTH-0001,Excision,SIT-0025,Intervertebral disc,APP-0016,Posterolateral,,,MOR-0021,Herniated intervertebral disc,INT-0001,1,1,1,interspace,"thoracic,thoracolumbar",1,,,2026-08-07,,v2026.1
NSX-00053,Posterior spinal instrumentation and fusion for vertebral fracture (procedure),Posterior spinal fixation fracture,spine-trauma,MTH-0012,Fixation,SIT-0020,Thoracic vertebral column,APP-0014,Posterior midline,DEV-0008,Pedicle screw system,MOR-0025,Vertebral fracture,INT-0001,0,1,1,vertebra,"thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00054,Odontoid screw fixation (procedure),Odontoid screw fixation,spine-trauma,MTH-0012,Fixation,SIT-0022,Craniocervical junction,APP-0015,Anterior cervical,DEV-0015,Odontoid screw,MOR-0025,Vertebral fracture,INT-0001,0,1,1,vertebra,craniocervical,1,,,2026-08-07,,v2026.1
NSX-00055,Occipitocervical fusion (procedure),Occipitocervical fusion,spine-trauma,MTH-0013,Fusion,SIT-0022,Craniocervical junction,APP-0014,Posterior midline,DEV-0010,Occipitocervical fixation system,,,INT-0001,0,1,1,vertebra,"craniocervical,cervical",1,,,2026-08-07,,v2026.1
NSX-00056,Percutaneous vertebroplasty (procedure),Percutaneous vertebroplasty,spine-trauma,MTH-0007,Insertion,SIT-0027,Vertebral body,APP-0018,Percutaneous,DEV-0017,Bone cement,MOR-0025,Vertebral fracture,INT-0001,1,1,1,vertebra,"thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00057,Excision of intradural extramedullary spinal tumour (procedure),Intradural extramedullary spinal tumour excision,spine-tumour,MTH-0001,Excision,SIT-0023,Spinal cord,APP-0014,Posterior midline,,,MOR-0008,Intradural extramedullary neoplasm,INT-0001,1,1,1,vertebra,"cervical,thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00058,Excision of intramedullary spinal cord tumour (procedure),Intramedullary spinal cord tumour excision,spine-tumour,MTH-0001,Excision,SIT-0023,Spinal cord,APP-0014,Posterior midline,,,MOR-0009,Intramedullary neoplasm,INT-0001,0,1,1,vertebra,"cervical,thoracic",1,,,2026-08-07,,v2026.1
NSX-00059,Laminectomy and decompression for metastatic spinal tumour (procedure),Laminectomy metastatic spinal tumour,spine-tumour,MTH-0011,Decompression,SIT-0020,Thoracic vertebral column,APP-0014,Posterior midline,,,MOR-0010,Metastatic spinal tumour,INT-0001,0,1,1,vertebra,"cervical,thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00060,Biopsy of vertebral lesion (procedure),Vertebral lesion biopsy,spine-tumour,MTH-0003,Biopsy,SIT-0027,Vertebral body,APP-0018,Percutaneous,,,MOR-0001,Neoplasm,INT-0002,1,1,1,vertebra,"cervical,thoracic,lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00061,Debridement and drainage of spinal epidural abscess (procedure),Spinal epidural abscess drainage,spine-infection,MTH-0005,Drainage,SIT-0026,Spinal epidural space,APP-0014,Posterior midline,,,MOR-0020,Spinal epidural abscess,INT-0001,0,1,1,vertebra,"cervical,thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00062,Repair of myelomeningocele (procedure),Myelomeningocele repair,paediatric,MTH-0010,Repair,SIT-0023,Spinal cord,APP-0014,Posterior midline,,,MOR-0030,Myelomeningocele,INT-0001,0,1,1,vertebra,"lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00063,Repair of encephalocele (procedure),Encephalocele repair,paediatric,MTH-0010,Repair,SIT-0014,Skull,APP-0019,Open direct exposure,,,MOR-0031,Encephalocele,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00064,Untethering of spinal cord (procedure),Spinal cord untethering,paediatric,MTH-0020,Release,SIT-0023,Spinal cord,APP-0014,Posterior midline,,,MOR-0033,Tethered cord,INT-0001,0,1,1,vertebra,"lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00065,Excision of spinal dermal sinus tract (procedure),Spinal dermal sinus excision,paediatric,MTH-0001,Excision,SIT-0023,Spinal cord,APP-0014,Posterior midline,,,MOR-0034,Spinal dermal sinus,INT-0001,0,1,1,vertebra,"lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00066,Surgical correction of craniosynostosis (procedure),Craniosynostosis correction,paediatric,MTH-0019,Reconstruction,SIT-0014,Skull,APP-0019,Open direct exposure,,,MOR-0032,Craniosynostosis,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00067,Carpal tunnel decompression (procedure),Carpal tunnel decompression,peripheral-nerve,MTH-0011,Decompression,SIT-0029,Median nerve,APP-0019,Open direct exposure,,,MOR-0036,Entrapment neuropathy,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00068,Ulnar nerve decompression at elbow (procedure),Ulnar nerve decompression,peripheral-nerve,MTH-0011,Decompression,SIT-0030,Ulnar nerve,APP-0019,Open direct exposure,,,MOR-0036,Entrapment neuropathy,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00069,Anterior transposition of ulnar nerve (procedure),Ulnar nerve transposition,peripheral-nerve,MTH-0021,Transposition,SIT-0030,Ulnar nerve,APP-0019,Open direct exposure,,,MOR-0036,Entrapment neuropathy,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00070,Excision of peripheral nerve sheath tumour (procedure),Peripheral nerve sheath tumour excision,peripheral-nerve,MTH-0001,Excision,SIT-0028,Peripheral nerve,APP-0019,Open direct exposure,,,MOR-0035,Peripheral nerve sheath tumour,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00071,Biopsy of peripheral nerve (procedure),Peripheral nerve biopsy,peripheral-nerve,MTH-0003,Biopsy,SIT-0028,Peripheral nerve,APP-0019,Open direct exposure,,,,,INT-0002,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00072,Microvascular decompression for trigeminal neuralgia (procedure),Microvascular decompression trigeminal,peripheral-nerve,MTH-0011,Decompression,SIT-0031,Trigeminal nerve,APP-0006,Retrosigmoid,,,MOR-0037,Trigeminal neuralgia,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00073,Percutaneous rhizotomy of trigeminal nerve (procedure),Percutaneous trigeminal rhizotomy,peripheral-nerve,MTH-0016,Destruction,SIT-0031,Trigeminal nerve,APP-0018,Percutaneous,,,MOR-0037,Trigeminal neuralgia,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00074,Craniotomy and clipping of anterior communicating artery aneurysm (procedure),Craniotomy ACoA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0033,Anterior communicating artery,APP-0005,Pterional,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00075,Craniotomy and clipping of posterior communicating artery aneurysm (procedure),Craniotomy PCoA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0034,Posterior communicating artery,APP-0005,Pterional,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00076,Craniotomy and clipping of internal carotid artery aneurysm (procedure),Craniotomy ICA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0035,Internal carotid artery,APP-0005,Pterional,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00077,Craniotomy and clipping of middle cerebral artery aneurysm (procedure),Craniotomy MCA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0036,Middle cerebral artery,APP-0005,Pterional,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00078,Craniotomy and clipping of anterior cerebral artery aneurysm (procedure),Craniotomy ACA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0037,Anterior cerebral artery,APP-0001,Craniotomy,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00079,Craniotomy and clipping of basilar artery aneurysm (procedure),Craniotomy basilar tip aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0038,Basilar artery,APP-0001,Craniotomy,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00080,Craniotomy and clipping of posterior inferior cerebellar artery aneurysm (procedure),Craniotomy PICA aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0039,Posterior inferior cerebellar artery,APP-0010,Far lateral,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00081,Craniotomy and clipping of vertebral artery aneurysm (procedure),Craniotomy vertebral artery aneurysm clipping,cranial-vascular,MTH-0014,Occlusion,SIT-0040,Vertebral artery,APP-0010,Far lateral,DEV-0007,Intracranial aneurysm clip,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00082,Lumbar microdiscectomy (procedure),Lumbar microdiscectomy,spine-degenerative,MTH-0001,Excision,SIT-0025,Intervertebral disc,APP-0014,Posterior midline,,,MOR-0021,Herniated intervertebral disc,INT-0001,1,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00083,Lumbar laminectomy and decompression (procedure),Lumbar laminectomy,spine-degenerative,MTH-0011,Decompression,SIT-0021,Lumbar vertebral column,APP-0014,Posterior midline,,,MOR-0022,Spinal canal stenosis,INT-0001,0,1,1,vertebra,"lumbar,sacral",1,,,2026-08-07,,v2026.1
NSX-00084,Anterior cervical discectomy and fusion (procedure),Anterior cervical discectomy and fusion,spine-degenerative,MTH-0013,Fusion,SIT-0025,Intervertebral disc,APP-0015,Anterior cervical,DEV-0011,Intervertebral cage,MOR-0021,Herniated intervertebral disc,INT-0001,0,1,1,interspace,"cervical,cervicothoracic",1,,,2026-08-07,,v2026.1
NSX-00085,Posterolateral thoracic fusion with pedicle screw fixation (procedure),Posterolateral thoracic fusion,spine-degenerative,MTH-0013,Fusion,SIT-0020,Thoracic vertebral column,APP-0016,Posterolateral,DEV-0008,Pedicle screw system,,,INT-0001,0,1,1,vertebra,thoracic,1,,,2026-08-07,,v2026.1
NSX-00086,Posterolateral thoracolumbar fusion with pedicle screw fixation (procedure),Posterolateral thoracolumbar fusion,spine-degenerative,MTH-0013,Fusion,SIT-0041,Thoracolumbar vertebral column,APP-0016,Posterolateral,DEV-0008,Pedicle screw system,,,INT-0001,0,1,1,vertebra,"thoracic,lumbar",1,,,2026-08-07,,v2026.1
NSX-00087,Posterior cervicothoracic fusion with instrumented fixation (procedure),Posterior cervicothoracic fusion,spine-degenerative,MTH-0013,Fusion,SIT-0042,Cervicothoracic vertebral column,APP-0014,Posterior midline,DEV-0019,Cervicothoracic fixation system,,,INT-0001,0,1,1,vertebra,"craniocervical,cervical,thoracic",1,,,2026-08-07,,v2026.1
NSX-00088,Decompressive craniectomy and evacuation of spontaneous intracerebral haematoma (procedure),Decompressive craniectomy spontaneous ICH evacuation,cranial-vascular,MTH-0006,Evacuation,SIT-0001,Cerebral hemisphere,APP-0002,Decompressive craniectomy,,,MOR-0014,Intracerebral haematoma,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00089,Diagnostic cerebral digital subtraction angiography (procedure),Diagnostic cerebral DSA,endovascular,MTH-0023,Angiography,SIT-0016,Cerebral artery,APP-0021,Endovascular,,,,,INT-0002,0,0,0,,,1,,,2026-08-07,,v2026.1
