facet_value_id,facet_id,term,snomed_attribute,active,effective_from,target_code,correlation
APP-0002,approach,Decompressive craniectomy,Surgical approach,1,2026-08-07,,
APP-0003,approach,Burr hole,Surgical approach,1,2026-08-07,,
APP-0004,approach,Twist drill craniostomy,Surgical approach,1,2026-08-07,,
APP-0005,approach,Pterional,Surgical approach,1,2026-08-07,,
APP-0006,approach,Retrosigmoid,Surgical approach,1,2026-08-07,,
APP-0007,approach,Suboccipital midline,Surgical approach,1,2026-08-07,,
APP-0008,approach,Subfrontal,Surgical approach,1,2026-08-07,,
APP-0009,approach,Bifrontal,Surgical approach,1,2026-08-07,,
APP-0010,approach,Far lateral,Surgical approach,1,2026-08-07,,
APP-0011,approach,Endoscopic transsphenoidal,Surgical approach,1,2026-08-07,,
APP-0012,approach,Endoscopic transventricular,Surgical approach,1,2026-08-07,,
APP-0013,approach,Stereotactic,Surgical approach,1,2026-08-07,,
APP-0014,approach,Posterior midline,Surgical approach,1,2026-08-07,,
APP-0015,approach,Anterior cervical,Surgical approach,1,2026-08-07,,
APP-0016,approach,Posterolateral,Surgical approach,1,2026-08-07,,
APP-0017,approach,Transforaminal,Surgical approach,1,2026-08-07,,
APP-0018,approach,Percutaneous,Surgical approach,1,2026-08-07,,
APP-0019,approach,Open direct exposure,Surgical approach,1,2026-08-07,,
APP-0020,approach,Interhemispheric,Surgical approach,1,2026-08-07,,
DEV-0001,device,Ventriculoperitoneal shunt system,Direct device,1,2026-08-07,,
DEV-0002,device,Lumboperitoneal shunt system,Direct device,1,2026-08-07,,
DEV-0003,device,Ventriculoatrial shunt system,Direct device,1,2026-08-07,,
DEV-0004,device,External ventricular drain catheter,Direct device,1,2026-08-07,,
DEV-0005,device,Intracranial pressure monitor,Direct device,1,2026-08-07,,
DEV-0006,device,Ommaya reservoir,Direct device,1,2026-08-07,,
DEV-0007,device,Intracranial aneurysm clip,Direct device,1,2026-08-07,,
DEV-0008,device,Pedicle screw system,Direct device,1,2026-08-07,,
DEV-0009,device,Lateral mass screw system,Direct device,1,2026-08-07,,
DEV-0010,device,Occipitocervical fixation system,Direct device,1,2026-08-07,,
DEV-0011,device,Intervertebral cage,Direct device,1,2026-08-07,,
DEV-0012,device,Anterior cervical plate,Direct device,1,2026-08-07,,
DEV-0013,device,Cranioplasty implant,Direct device,1,2026-08-07,,
DEV-0014,device,Autologous bone flap,Direct device,1,2026-08-07,,
DEV-0015,device,Odontoid screw,Direct device,1,2026-08-07,,
DEV-0016,device,Lumbar drain catheter,Direct device,1,2026-08-07,,
DEV-0017,device,Bone cement,Direct device,1,2026-08-07,,
DEV-0018,device,Dural graft,Direct device,1,2026-08-07,,
MOR-0001,morphology,Neoplasm,Procedure morphology,1,2026-08-07,,
MOR-0002,morphology,Meningioma,Procedure morphology,1,2026-08-07,,
MOR-0003,morphology,Vestibular schwannoma,Procedure morphology,1,2026-08-07,,
MOR-0004,morphology,Pituitary adenoma,Procedure morphology,1,2026-08-07,,
MOR-0005,morphology,Intracranial metastasis,Procedure morphology,1,2026-08-07,,
MOR-0006,morphology,Glioma,Procedure morphology,1,2026-08-07,,
MOR-0007,morphology,Intraventricular neoplasm,Procedure morphology,1,2026-08-07,,
MOR-0008,morphology,Intradural extramedullary neoplasm,Procedure morphology,1,2026-08-07,,
MOR-0009,morphology,Intramedullary neoplasm,Procedure morphology,1,2026-08-07,,
MOR-0010,morphology,Metastatic spinal tumour,Procedure morphology,1,2026-08-07,,
MOR-0011,morphology,Acute subdural haematoma,Procedure morphology,1,2026-08-07,,
MOR-0012,morphology,Chronic subdural haematoma,Procedure morphology,1,2026-08-07,,
MOR-0013,morphology,Extradural haematoma,Procedure morphology,1,2026-08-07,,
MOR-0014,morphology,Intracerebral haematoma,Procedure morphology,1,2026-08-07,,
MOR-0015,morphology,Saccular aneurysm,Procedure morphology,1,2026-08-07,,
MOR-0016,morphology,Arteriovenous malformation,Procedure morphology,1,2026-08-07,,
MOR-0017,morphology,Cavernous malformation,Procedure morphology,1,2026-08-07,,
MOR-0018,morphology,Cerebral abscess,Procedure morphology,1,2026-08-07,,
MOR-0019,morphology,Subdural empyema,Procedure morphology,1,2026-08-07,,
MOR-0020,morphology,Spinal epidural abscess,Procedure morphology,1,2026-08-07,,
MOR-0021,morphology,Herniated intervertebral disc,Procedure morphology,1,2026-08-07,,
MOR-0022,morphology,Spinal canal stenosis,Procedure morphology,1,2026-08-07,,
MOR-0023,morphology,Cervical spondylotic myelopathy,Procedure morphology,1,2026-08-07,,
MOR-0024,morphology,Spondylolisthesis,Procedure morphology,1,2026-08-07,,
MOR-0025,morphology,Vertebral fracture,Procedure morphology,1,2026-08-07,,
MOR-0026,morphology,Depressed skull fracture,Procedure morphology,1,2026-08-07,,
MOR-0027,morphology,Cerebrospinal fluid leak,Procedure morphology,1,2026-08-07,,
MOR-0028,morphology,Hydrocephalus,Procedure morphology,1,2026-08-07,,
MOR-0029,morphology,Malignant middle cerebral artery infarction,Procedure morphology,1,2026-08-07,,
MOR-0030,morphology,Myelomeningocele,Procedure morphology,1,2026-08-07,,
MOR-0031,morphology,Encephalocele,Procedure morphology,1,2026-08-07,,
MOR-0032,morphology,Craniosynostosis,Procedure morphology,1,2026-08-07,,
MOR-0033,morphology,Tethered cord,Procedure morphology,1,2026-08-07,,
MOR-0034,morphology,Spinal dermal sinus,Procedure morphology,1,2026-08-07,,
MOR-0035,morphology,Peripheral nerve sheath tumour,Procedure morphology,1,2026-08-07,,
MOR-0036,morphology,Entrapment neuropathy,Procedure morphology,1,2026-08-07,,
MOR-0037,morphology,Trigeminal neuralgia,Procedure morphology,1,2026-08-07,,
MOR-0038,morphology,Surgical site infection,Procedure morphology,1,2026-08-07,,
INT-0001,intent,Therapeutic,Has intent,1,2026-08-07,,
INT-0002,intent,Diagnostic,Has intent,1,2026-08-07,,
INT-0003,intent,Palliative,Has intent,1,2026-08-07,,
INT-0004,intent,Prophylactic,Has intent,1,2026-08-07,,
SIT-0033,site,Anterior communicating artery,Procedure site - Direct,1,2026-08-07,,
SIT-0034,site,Posterior communicating artery,Procedure site - Direct,1,2026-08-07,,
SIT-0035,site,Internal carotid artery,Procedure site - Direct,1,2026-08-07,,
SIT-0036,site,Middle cerebral artery,Procedure site - Direct,1,2026-08-07,,
SIT-0037,site,Anterior cerebral artery,Procedure site - Direct,1,2026-08-07,,
SIT-0038,site,Basilar artery,Procedure site - Direct,1,2026-08-07,,
SIT-0039,site,Posterior inferior cerebellar artery,Procedure site - Direct,1,2026-08-07,,
SIT-0040,site,Vertebral artery,Procedure site - Direct,1,2026-08-07,,
SIT-0041,site,Thoracolumbar vertebral column,Procedure site - Direct,1,2026-08-07,,
SIT-0042,site,Cervicothoracic vertebral column,Procedure site - Direct,1,2026-08-07,,
DEV-0019,device,Cervicothoracic fixation system,Direct device,1,2026-08-07,,
